epoch,loss,acc
1,0,0
2,1.1157,0.23
3,0.9509,0.27
4,0.7442,0.37
5,0.577,0.71
6,0.4681,0.86
7,0.4185,0.86
8,0.3949,0.86
9,0.3893,0.86
10,0.3845,0.86
11,0.383,0.86
12,0.3825,0.86
13,0.382,0.86
14,0.3814,0.86
15,0.3811,0.86
16,0.3799,0.86
17,0.3795,0.86
18,0.3785,0.86
19,0.3785,0.86
20,0.3779,0.86
21,0.3777,0.86
22,0.3765,0.86
23,0.3757,0.86
24,0.3752,0.86
25,0.3746,0.86
26,0.3741,0.86
27,0.3735,0.86
28,0.3732,0.86
29,0.3724,0.86
30,0.3722,0.86
31,0.3715,0.86
32,0.3708,0.86
33,0.3703,0.86
34,0.3697,0.86
35,0.3694,0.86
36,0.3689,0.86
37,0.3685,0.86
38,0.368,0.86
39,0.3674,0.86
40,0.3669,0.86
41,0.3667,0.86
42,0.3662,0.86
43,0.3665,0.86
44,0.3661,0.86
45,0.3653,0.86
46,0.3655,0.86
47,0.3648,0.86
48,0.3636,0.86
49,0.3634,0.86
50,0.3629,0.86
51,0.3628,0.86
52,0.3626,0.86
53,0.3625,0.86
54,0.3622,0.86
55,0.362,0.86
56,0.3615,0.86
57,0.3613,0.86
58,0.3611,0.86
59,0.3608,0.86
60,0.3605,0.86
61,0.3611,0.86
62,0.3604,0.86
63,0.3604,0.86
64,0.3604,0.86
65,0.3594,0.86
66,0.3592,0.86
67,0.3589,0.86
68,0.3587,0.86
69,0.3586,0.86
70,0.3583,0.86
71,0.3583,0.86
72,0.3581,0.86
73,0.3579,0.86
74,0.3574,0.86
75,0.3574,0.86
76,0.3571,0.86
77,0.3568,0.86
78,0.3567,0.86
79,0.3563,0.86
80,0.3562,0.86
81,0.3557,0.86
82,0.3559,0.86
83,0.3558,0.86
84,0.3555,0.86
85,0.3553,0.86
86,0.3555,0.86
87,0.3553,0.86
88,0.355,0.86
89,0.3545,0.86
90,0.354,0.86
91,0.354,0.86
92,0.3537,0.86
93,0.3534,0.86
94,0.3538,0.86
95,0.3527,0.86
96,0.3524,0.86
97,0.3522,0.86
98,0.3519,0.86
99,0.3517,0.86
100,0.3515,0.86
101,0.3513,0.86
102,0.3511,0.86
103,0.351,0.86
104,0.3506,0.86
105,0.3502,0.86
106,0.3502,0.86
107,0.3501,0.86
108,0.3499,0.86
109,0.3502,0.86
110,0.3494,0.86
111,0.3491,0.86
112,0.3491,0.86
113,0.3497,0.86
114,0.3486,0.86
115,0.3486,0.86
116,0.3481,0.86
117,0.3479,0.86
118,0.3481,0.86
119,0.3476,0.86
120,0.3475,0.86
121,0.3467,0.86
