epoch,loss,acc
1,0,0
2,0.7267,0.4200
3,0.6340,0.6900
4,0.5518,0.8200
5,0.4951,0.8200
6,0.4743,0.8200
7,0.4672,0.8200
8,0.4719,0.8200
9,0.4717,0.8200
10,0.4722,0.8200
11,0.4692,0.8200
12,0.4674,0.8200
13,0.4666,0.8200
14,0.4649,0.8200
15,0.4648,0.8200
16,0.4640,0.8200
17,0.4647,0.8200
18,0.4642,0.8200
19,0.4633,0.8200
20,0.4632,0.8200
21,0.4613,0.8200
22,0.4595,0.8200
23,0.4589,0.8200
24,0.4578,0.8200
25,0.4563,0.8200
26,0.4579,0.8200
27,0.4587,0.8200
28,0.4610,0.8200
29,0.4619,0.8200
30,0.4609,0.8200
31,0.4602,0.8200
32,0.4590,0.8200
33,0.4563,0.8200
34,0.4530,0.8200
35,0.4503,0.8200
36,0.4490,0.8200
37,0.4484,0.8200
38,0.4486,0.8200
39,0.4477,0.8200
40,0.4477,0.8200
41,0.4481,0.8200
42,0.4472,0.8200
43,0.4445,0.8200
44,0.4442,0.8200
45,0.4472,0.8200
46,0.4459,0.8200
47,0.4450,0.8200
48,0.4447,0.8200
49,0.4432,0.8200
50,0.4426,0.8200
51,0.4412,0.8200
52,0.4412,0.8200
53,0.4403,0.8200
54,0.4401,0.8200
55,0.4399,0.8200
56,0.4389,0.8200
57,0.4388,0.8200
58,0.4374,0.8200
59,0.4375,0.8200
60,0.4367,0.8200
61,0.4360,0.8200
62,0.4356,0.8200
63,0.4355,0.8200
64,0.4349,0.8200
65,0.4342,0.8200
66,0.4337,0.8200
67,0.4341,0.8200
68,0.4338,0.8200
69,0.4330,0.8200
70,0.4325,0.8200
71,0.4337,0.8200
72,0.4327,0.8200
73,0.4319,0.8200
74,0.4315,0.8200
75,0.4308,0.8200
76,0.4300,0.8200
77,0.4300,0.8200
78,0.4291,0.8200
79,0.4292,0.8200
80,0.4290,0.8200
81,0.4284,0.8200
82,0.4283,0.8200
83,0.4284,0.8200
84,0.4280,0.8200
85,0.4276,0.8200
86,0.4273,0.8200
87,0.4271,0.8200
88,0.4269,0.8200
89,0.4265,0.8200
90,0.4263,0.8200
91,0.4259,0.8200
92,0.4253,0.8200
93,0.4254,0.8200
94,0.4253,0.8200
95,0.4249,0.8200
96,0.4243,0.8200
97,0.4241,0.8200
98,0.4247,0.8200
99,0.4240,0.8200
100,0.4239,0.8200
101,0.4242,0.8200
102,0.4238,0.8200
103,0.4233,0.8200
104,0.4227,0.8200
105,0.4226,0.8200
106,0.4217,0.8200
107,0.4221,0.8200
108,0.4228,0.8200
109,0.4230,0.8200
110,0.4224,0.8200
111,0.4210,0.8200
112,0.4205,0.8200
113,0.4209,0.8200
114,0.4212,0.8200
115,0.4210,0.8200
116,0.4217,0.8200
117,0.4241,0.8200
118,0.4233,0.8200
119,0.4229,0.8200
120,0.4222,0.8200
121,0.4212,0.8200
122,0.4194,0.8200
123,0.4189,0.8200
124,0.4191,0.8200
125,0.4195,0.8200
126,0.4196,0.8200
127,0.4200,0.8200
128,0.4200,0.8200
129,0.4200,0.8200
130,0.4189,0.8200
131,0.4177,0.8200
132,0.4168,0.8200
133,0.4175,0.8200
134,0.4176,0.8200
135,0.4187,0.8200
136,0.4188,0.8200
137,0.4171,0.8200
138,0.4170,0.8200
139,0.4166,0.8200
140,0.4164,0.8200
141,0.4169,0.8200
142,0.4165,0.8200
143,0.4163,0.8200
144,0.4159,0.8200
145,0.4155,0.8200
146,0.4154,0.8200
147,0.4152,0.8200
148,0.4160,0.8200
149,0.4158,0.8200
150,0.4160,0.8200
151,0.4154,0.8200
152,0.4151,0.8200
153,0.4148,0.8200
154,0.4146,0.8200
155,0.4147,0.8200
156,0.4144,0.8200
157,0.4140,0.8200
158,0.4141,0.8200
159,0.4138,0.8200
160,0.4139,0.8200
161,0.4144,0.8200
162,0.4141,0.8200
163,0.4142,0.8200
164,0.4145,0.8200
165,0.4143,0.8200
166,0.4147,0.8200
167,0.4144,0.8200
168,0.4134,0.8200
169,0.4128,0.8200
170,0.4127,0.8200
171,0.4129,0.8200
172,0.4129,0.8200
173,0.4125,0.8200
174,0.4123,0.8200
175,0.4122,0.8200
176,0.4126,0.8200
177,0.4125,0.8200
178,0.4127,0.8200
179,0.4131,0.8200
180,0.4131,0.8200
181,0.4130,0.8200
182,0.4129,0.8200
183,0.4124,0.8200
184,0.4121,0.8200
185,0.4113,0.8200
186,0.4112,0.8200
187,0.4112,0.8200
188,0.4110,0.8200
189,0.4108,0.8200
190,0.4107,0.8200
191,0.4116,0.8200
192,0.4109,0.8200
193,0.4107,0.8200
194,0.4106,0.8200
195,0.4105,0.8200
196,0.4103,0.8200
197,0.4101,0.8200
198,0.4123,0.8200
199,0.4110,0.8200
200,0.4114,0.8200
201,0.4114,0.8200
202,0.4128,0.8200
203,0.4119,0.8200
204,0.4112,0.8200
205,0.4111,0.8200
206,0.4102,0.8200
207,0.4100,0.8200
208,0.4099,0.8200
209,0.4102,0.8200
210,0.4111,0.8200
211,0.4112,0.8200
212,0.4097,0.8200
213,0.4106,0.8200
214,0.4089,0.8200
215,0.4090,0.8200
216,0.4091,0.8200
217,0.4088,0.8200
218,0.4091,0.8200
219,0.4101,0.8200
220,0.4086,0.8200
221,0.4088,0.8200
222,0.4088,0.8200
223,0.4080,0.8200
224,0.4082,0.8200
225,0.4101,0.8200
226,0.4092,0.8200
227,0.4091,0.8200
228,0.4095,0.8200
229,0.4093,0.8200
230,0.4094,0.8200
231,0.4080,0.8200
232,0.4079,0.8200
233,0.4080,0.8200
